Actions,%,Total
2021-10-29T18:51:27Z       Squad Halley       100       Atenção ao cliente tempo de atendimento qualidade quantidade       Tempo de atendimento       Tô baum       Ainda tenho que melhorar alguns pontos no tempo de atendimento para obter maior agilidade alguns tickets são mais complexos mas estou conseguindo entender com maior agilidade,2.08%,1
2021-10-29T18:53:04Z       Squad Halley       89       O engajamento do time       Evolução de performance       Tô baum       Como mencionei o engajamento do time foi muito bom e refletiu em boas entregas,2.08%,1
2021-10-29T18:54:25Z       Halley       90       Clareza em relação às metas e buscas pelo time para conseguir alcança-las.        Dedicação busca por conhecimentos para ter um time mais preciso de resposta ao cliente.       To baum dimais da conta!       Prazer de trabalhar com pessoas amigáveis que realmente dão suporte e ajudam no crescimento. Feliz por saber que não é so mais um mas somos todos um.,2.08%,1
2021-10-29T18:55:14Z       Halley       95       Trabalho em equipe continuidade e atenção       Quantidade de nota e SLA       Tô baum       Fila controlada durante a semana dando pra controlar e respirar após as últimas,2.08%,1
2021-10-29T18:57:19Z       Squad Halley       90       O time tem se tornado cada vez mais autonomo       Analisar mais constantemente SLA e metricas       baum       O time tem evoluido em direção da melhoria continua.,2.08%,1
2021-10-29T19:27:18Z       Halley       90       Manter controle do back log e tentar diminuir quantidade de tickets escalados.       Aumento de reaberturas e quantidades de notas antes do fechamento.       Tô baum       Conseguimos analisar bastante coisas e impedimentos.,2.08%,1
2021-10-29T22:13:29Z       Framework       95       Dedicação e esforço coletivo       Reforçar base teórica       To baum dimais da conta!       tarefas entregues com louvor,2.08%,1
2021-10-29T22:13:46Z       Inteligencia Geográfica       30       Integraçao entre os 3 frontend do lab       Otimizar e aproveitar melhor o tempo disponível dos membros em conjunto       Tô baum       Porque nessa ultima semana tive a oportunidade (após o puxão de orelha) de agregar ao time trabalhando em conjunto com a galera mais experiente.,2.08%,1
2021-10-29T22:25:49Z       infraestrutura       75       aprendi muita coisa nova usei várias ferramentas que não tinha usado ainsa       é necessária mais entrega       O momentim marromeno       dediquei bastante mas ão entreguei o suficiente,2.08%,1
2021-10-27T12:26:43Z       Operações       80       Dedicação da equipe.       Priorizar melhor o tempo.       Tô baum       Embora os desafios estou contente com os resultados.,2.08%,1
